Partner,Jan-Sep_2023,Jan-Sep_2024,Y 2015,Y 2016,Y 2017,Y 2018,Y 2019,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2020,Y_2021,Y_2022,Y_2023
St Helena,0,0,0,0,0,5797,0,154683,14826,157883,55571,36132,32833,0,26951,87831,4640,0
St Lucia,1979633,3188839,2172500,2635748,2892176,2549720,2094087,3694899,3435071,1850321,1932176,1320840,2478472,2941601,2967640,2591507,2659941,2853322
St Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,7700,0,0,0,0,0,0
St Vincent and Grenadines,1175125,1214497,2158144,1828384,2166122,1511188,1603680,1329872,2635196,1289134,1663145,1576527,1693432,1641835,1199846,1175271,1627402,1734209
Sudan,0,0,0,21075,53360,120152,44885,44526,532803,348201,91629,3494,0,71073,83920,145361,6802,0
Suriname,11372618,11934429,12566224,7967643,17676134,16258566,20357156,5202945,6277247,10435800,8686504,30876945,18219525,8940793,11142036,18226114,21930700,14721583
"Svalbard, Jan Mayen Island",0,19776,0,0,0,0,0,0,0,7244,0,0,0,0,17335,0,0,0
Swaziland,148699,0,1379059,337821,433547,459879,472630,77874,886109,49985,105333,28715,46917,893500,602447,1046272,579901,148699
Sweden,101954888,103632684,141821981,108492170,126792974,136636377,155891421,226966281,112022543,182746111,187351831,156674765,154815081,148645172,94208867,123939260,139669447,140446629
Switzerland,28428422,33522191,24192910,26315282,21275232,23642786,28677197,27406138,20531284,18009055,19444170,20594602,26180643,23490076,30544666,35865841,34899005,40011648
Syria,0,0,0,0,0,0,0,7723,15360,0,4513,0,0,0,0,0,0,0
Taiwan,97056460,175800507,78705459,78263849,78186138,71283480,73126097,80006568,58007767,70379602,77625386,75138560,85884297,86729835,88986782,81226549,117989423,129585272
Tajikistan,231283,95357,273436,896068,12046,30112,336203,0,37256,34171,288487,164502,134355,159700,23605,571673,465655,359064
Tanzania,2864261,1937566,11244031,3961268,5123451,6397327,3328015,8732355,5025058,10497354,14123738,12358819,19223423,6637095,3655847,3251044,2591528,3531322
Thailand,791478380,755876873,338813681,626638946,664058505,546413048,819004819,117730042,88575383,128170924,168475655,327323627,377190132,279184889,695753791,847391360,864045282,1046059780
Togo,12531351,10562962,3971123,7310783,7979962,12559443,11193519,3327377,5417206,7903517,5732510,6658161,9859455,7360934,11161131,14903847,18234144,16977091
Tokelau Islands,0,0,0,0,0,0,0,238007,384464,10129,31533,221509,172476,0,0,0,0,0
Tonga,26367,374684,47098,24600,37846,195424,178011,14500,35375,98870,17002,11000,2600,5340,12486,34559,6699,26367
Trinidad and Tobago,13470609,16019973,28865745,30814936,24215268,24062285,21800713,33128930,19139867,23090802,18526567,18367051,27680222,26800518,22791600,22022867,20372425,21134443
Tunisia,1706048,2883870,2741865,1574221,2461345,2402871,5477512,1400723,1988038,2461293,2128658,2122973,1466624,4709862,2110641,2752953,3374687,2047044
Turkey,208741733,323841502,211512820,189706981,231117905,259980315,291533862,101651025,63662010,49509752,98377278,98584243,109604456,159146108,254236166,243505933,367713330,284819685
Turkmenistan,379862,147213,956790,1156331,552235,537194,405125,1079981,4169231,2431382,1293061,1186541,1159503,717705,234406,371018,83826,452222
Turks and Caicos Islands,3253530,3063953,1801150,2458374,2435805,4043347,2410090,9270245,2251525,1292609,1146528,1278042,1393783,1764421,1980842,3878918,3362255,4631411
Tuvalu,0,18248,0,0,0,21845,3996,0,0,0,184115,0,0,0,662532,0,0,0
Uganda,1003539,1757991,1149641,892305,2000316,1125374,622996,1041388,226920,749796,1014593,1107479,1590396,1353212,570583,2631731,907018,1488514
Ukraine,28372462,40280069,8026879,6911988,13528049,13599272,23367155,26939265,11898607,13709578,20225225,16137351,14982747,8897667,52221109,102068107,26866660,47828040
United Arab Emirates,555657519,536324310,714172553,630178851,653391770,580421751,611809884,259508618,247962197,307336510,395890542,507182280,576057127,739281221,558029444,684101701,631816726,760712518
United Kingdom,903621437,975674573,1601666669,1554672633,1665771847,2060875606,1957206938,1043116812,613364726,934947190,1137317506,1100994744,1008999915,1450308912,1179319222,1120528399,1189446915,1212152322
Uruguay,11901388,12370937,10300575,9068500,14715038,14059852,30473819,11415430,13391554,11908445,22029799,16983536,14248645,12452645,11060287,10448421,11557306,15274516
Uzbekistan,13000696,10257179,1370041,188793,545343,1474911,3761909,425742,1082232,527077,1098710,2821252,3651418,1185630,3049102,3731031,6677108,16840987
Vanuatu (New Hebrides),20235,0,3000,8185,23598,243580,21077,10930,77562,11000,0,3378,32258,25556,14447,25719,55095,20235
Vatican City,0,0,0,0,0,26663,0,31451,104552,149918,231676,226182,76547,0,0,0,0,0
Venezuela,70243478,67442754,234892786,137874089,62297243,46316154,61425196,885339945,675412813,657677912,797372967,976755380,559766859,368414867,51411521,50165755,87069508,91258391
Vietnam,50261856,51330254,32177576,31429581,25034395,33166877,56847600,12342692,15958936,15398621,16490567,19176714,24360791,26047211,35866046,77260861,74303343,67770992
Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550,0,0
West Bank,3164,113562,0,47400,90750,0,0,30697,0,10650,0,5342,0,0,0,0,0,5887
Western Sahara,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0
Western Samoa,172738,2414240,135282,114467,5837910,555989,370892,199015,119396,144126,361661,148727,504080,731278,336255,246683,242491,232567
Yemen (Sana),2196417,2517080,3166858,3689085,4031396,1051329,1549232,3426275,7704408,4322372,5020990,7782674,8838474,8637806,4048783,6519913,2466895,3176541
Zambia,6960980,9270276,6330607,7499872,3876426,30225559,5358788,5651220,9027288,6002419,8170838,11369728,21916577,7370731,3403296,8938492,14002474,9979120
Zimbabwe (Rhodesia),4468744,2717731,2719465,1397133,2571513,3456721,3562230,1228454,1793807,2382861,2984102,3171930,3144054,4071269,7466523,5544365,4341149,5565061
